Time,Symbol,Type,Price,SL,TP,Lots,Profit,Comment,Status
2026-04-21 13:09:58,Volatility 25 Index,BUY,3179.725,3175.103,3186.078,0.5,0,ENTRY,OPEN
2026-04-21 13:10:01,Volatility 25 Index,BUY,3179.665,3175.657,3185.097,0.5,0,ENTRY,OPEN
2026-04-21 13:10:05,Volatility 25 Index,BUY,3179.392,3175.634,3184.449,0.5,0,ENTRY,OPEN
2026-04-21 13:10:10,Volatility 25 Index,BUY,3179.236,3175.62,3184.079,0.5,0,ENTRY,OPEN
2026-04-21 13:15:40,Volatility 25 Index,BUY,3175.827,3173.661,3178.496,0.5,0,ENTRY,OPEN
2026-04-21 13:15:40,Volatility 25 Index,SELL,3175.595,0,0,0.5,-2.04,Stop Loss 🛑,CLOSED
2026-04-21 13:15:40,Volatility 25 Index,SELL,3175.595,0,0,0.5,-1.9,Stop Loss 🛑,CLOSED
2026-04-21 13:15:40,Volatility 25 Index,SELL,3175.595,0,0,0.5,-1.82,Stop Loss 🛑,CLOSED
2026-04-21 13:15:47,Volatility 25 Index,BUY,3175.657,3173.476,3178.348,0.5,0,ENTRY,OPEN
2026-04-21 13:15:51,Volatility 25 Index,BUY,3175.58,3173.393,3178.281,0.5,0,ENTRY,OPEN
2026-04-21 13:15:56,Volatility 25 Index,BUY,3175.245,3173.029,3177.989,0.5,0,ENTRY,OPEN
2026-04-21 13:15:56,Volatility 25 Index,SELL,3175.013,0,0,0.5,-2.14,Stop Loss 🛑,CLOSED
2026-04-21 13:15:56,Volatility 25 Index,SELL,3175.013,0,0,0.5,-2.36,Stop Loss 🛑,CLOSED
2026-04-21 13:16:03,XAUUSD,BUY,4782.84,4772.65,4797.57,0.01,0,ENTRY,OPEN
2026-04-21 13:21:22,Volatility 25 Index,BUY,3178.332,3171.963,3187.306,0.5,0,ENTRY,OPEN
2026-04-21 13:21:22,Volatility 25 Index,SELL,3178.1,0,0,0.5,1.43,Take Profit 🎯,CLOSED
2026-04-21 13:21:27,Volatility 25 Index,BUY,3178.578,3171.942,3187.953,0.5,0,ENTRY,OPEN
2026-04-21 13:21:26,Volatility 25 Index,SELL,3178.346,0,0,0.5,1.38,Take Profit 🎯,CLOSED
2026-04-21 13:21:32,Volatility 25 Index,BUY,3178.821,3171.921,3188.591,0.5,0,ENTRY,OPEN
2026-04-21 13:21:28,Volatility 25 Index,SELL,3178.513,0,0,0.5,1.34,Take Profit 🎯,CLOSED
2026-04-21 13:21:28,Volatility 25 Index,SELL,3178.513,0,0,0.5,1.46,Take Profit 🎯,CLOSED
2026-04-21 13:21:39,Volatility 25 Index,BUY,3178.598,3171.92,3188.035,0.5,0,ENTRY,OPEN
2026-04-21 13:46:47,Volatility 25 Index,BUY,3180.734,3177.762,3184.612,0.5,0,ENTRY,OPEN
2026-04-21 13:46:49,Volatility 50 Index,BUY,89.5133,89.2419,89.8879,4.0,0,ENTRY,OPEN
2026-04-21 13:48:16,XAUUSD,SELL,4797.73,0,0,0.01,14.77,Take Profit 🎯,CLOSED
2026-04-21 13:48:16,XAUUSD,SELL,4797.73,0,0,0.01,14.77,Take Profit 🎯,CLOSED
2026-04-21 13:53:57,XAUUSD,BUY,4793.39,4789.26,4799.21,0.01,0,ENTRY,OPEN
2026-04-21 13:53:58,Volatility 25 Index,SELL,3184.639,0,0,0.5,1.95,Take Profit 🎯,CLOSED
2026-04-21 13:53:59,Volatility 75 Index,SELL,33815.65,34025.56,33500.78,0.01,0,ENTRY,OPEN
2026-04-21 13:53:58,Volatility 25 Index,SELL,3184.639,0,0,0.5,1.95,Take Profit 🎯,CLOSED
2026-04-21 13:54:42,Volatility 50 Index,SELL,89.2294,0,0,4.0,-1.16,Stop Loss 🛑,CLOSED
2026-04-21 13:54:42,Volatility 50 Index,SELL,89.2294,0,0,4.0,-1.16,Stop Loss 🛑,CLOSED
2026-04-21 13:57:49,XAUUSD,BUY,4794.46,4790.52,4799.99,0.01,0,ENTRY,OPEN
2026-04-21 13:57:50,Volatility 25 Index,SELL,3187.642,0,0,0.5,4.66,Take Profit 🎯,CLOSED
2026-04-21 13:57:50,Volatility 25 Index,SELL,3187.642,0,0,0.5,4.66,Take Profit 🎯,CLOSED
2026-04-21 13:59:51,XAUUSD,BUY,4794.66,4790.52,4800.49,0.01,0,ENTRY,OPEN
2026-04-21 13:59:52,Volatility 25 Index,SELL,3188.218,0,0,0.5,4.74,Take Profit 🎯,CLOSED
2026-04-21 13:59:52,Volatility 25 Index,SELL,3188.218,0,0,0.5,4.74,Take Profit 🎯,CLOSED
2026-04-21 14:03:52,XAUUSD,BUY,4794.69,4790.53,4800.56,0.01,0,ENTRY,OPEN
2026-04-21 14:03:52,Volatility 25 Index,SELL,3188.624,0,0,0.5,4.92,Take Profit 🎯,CLOSED
2026-04-21 14:03:52,Volatility 25 Index,SELL,3188.624,0,0,0.5,4.92,Take Profit 🎯,CLOSED
2026-04-21 14:12:33,XAUUSD,BUY,4792.73,4788.96,4798.01,0.01,0,ENTRY,OPEN
2026-04-21 14:15:14,XAUUSD,BUY,4790.66,4788.03,4794.23,0.01,0,ENTRY,OPEN
2026-04-21 14:15:14,XAUUSD,BUY,4790.66,4788.03,4794.23,0.01,0,ENTRY,OPEN
2026-04-21 14:15:15,XAUUSD,SELL,4790.5,0,0,0.01,-3.96,Stop Loss 🛑,CLOSED
2026-04-21 14:15:15,XAUUSD,SELL,4790.5,0,0,0.01,-3.96,Stop Loss 🛑,CLOSED
2026-04-21 14:15:15,XAUUSD,SELL,4790.5,0,0,0.01,-4.16,Stop Loss 🛑,CLOSED
2026-04-21 14:15:15,XAUUSD,SELL,4790.5,0,0,0.01,-4.16,Stop Loss 🛑,CLOSED
2026-04-21 14:15:15,XAUUSD,SELL,4790.5,0,0,0.01,-4.18,Stop Loss 🛑,CLOSED
2026-04-21 14:15:15,XAUUSD,SELL,4790.5,0,0,0.01,-4.18,Stop Loss 🛑,CLOSED
2026-04-21 14:15:22,XAUUSD,BUY,4790.7,4787.89,4794.54,0.01,0,ENTRY,OPEN
2026-04-21 14:15:55,XAUUSD,BUY,4789.5,4786.68,4793.35,0.01,0,ENTRY,OPEN
2026-04-21 14:15:56,XAUUSD,SELL,4789.26,0,0,0.01,-3.97,Stop Loss 🛑,CLOSED
2026-04-21 14:15:56,XAUUSD,SELL,4789.26,0,0,0.01,-3.97,Stop Loss 🛑,CLOSED
2026-04-21 14:18:03,XAUUSD,BUY,4789.12,4786.49,4792.69,0.01,0,ENTRY,OPEN
2026-04-21 14:18:04,XAUUSD,SELL,4788.96,0,0,0.01,-3.77,Stop Loss 🛑,CLOSED
2026-04-21 14:18:04,XAUUSD,SELL,4788.96,0,0,0.01,-3.77,Stop Loss 🛑,CLOSED
2026-04-21 14:18:34,XAUUSD,BUY,4788.21,4785.48,4791.93,0.01,0,ENTRY,OPEN
2026-04-21 14:18:34,XAUUSD,BUY,4788.2,4785.48,4791.91,0.01,0,ENTRY,OPEN
2026-04-21 14:18:35,XAUUSD,SELL,4788.03,0,0,0.01,-2.63,Stop Loss 🛑,CLOSED
2026-04-21 14:18:35,XAUUSD,SELL,4788.03,0,0,0.01,-2.63,Stop Loss 🛑,CLOSED
2026-04-21 14:18:35,XAUUSD,SELL,4788.03,0,0,0.01,-2.63,Stop Loss 🛑,CLOSED
2026-04-21 14:18:35,XAUUSD,SELL,4788.03,0,0,0.01,-2.63,Stop Loss 🛑,CLOSED
2026-04-21 14:18:43,XAUUSD,BUY,4787.99,4785.26,4791.71,0.01,0,ENTRY,OPEN
2026-04-21 14:18:43,XAUUSD,SELL,4787.83,0,0,0.01,-2.87,Stop Loss 🛑,CLOSED
2026-04-21 14:18:43,XAUUSD,SELL,4787.83,0,0,0.01,-2.87,Stop Loss 🛑,CLOSED
2026-04-21 14:19:01,XAUUSD,BUY,4786.77,4784.08,4790.42,0.01,0,ENTRY,OPEN
2026-04-21 14:19:02,XAUUSD,SELL,4786.62,0,0,0.01,-2.76,Stop Loss 🛑,CLOSED
2026-04-21 14:19:02,XAUUSD,SELL,4786.62,0,0,0.01,-2.76,Stop Loss 🛑,CLOSED
2026-04-21 14:19:05,XAUUSD,BUY,4786.81,4783.68,4790.1,0.01,0,ENTRY,OPEN
2026-04-21 14:19:06,XAUUSD,SELL,4786.24,0,0,0.01,-3.38,Stop Loss 🛑,CLOSED
2026-04-21 14:19:06,XAUUSD,SELL,4786.24,0,0,0.01,-3.38,Stop Loss 🛑,CLOSED
2026-04-21 14:19:09,XAUUSD,BUY,4785.56,4782.77,4789.37,0.01,0,ENTRY,OPEN
2026-04-21 14:19:09,XAUUSD,BUY,4785.61,4782.78,4789.48,0.01,0,ENTRY,OPEN
2026-04-21 14:19:10,XAUUSD,SELL,4785.41,0,0,0.01,-2.79,Stop Loss 🛑,CLOSED
2026-04-21 14:19:10,XAUUSD,SELL,4785.41,0,0,0.01,-2.79,Stop Loss 🛑,CLOSED
2026-04-21 14:19:10,XAUUSD,SELL,4785.41,0,0,0.01,-2.88,Stop Loss 🛑,CLOSED
2026-04-21 14:19:10,XAUUSD,SELL,4785.41,0,0,0.01,-2.88,Stop Loss 🛑,CLOSED
2026-04-21 14:19:25,XAUUSD,BUY,4785.18,4782.21,4789.24,0.01,0,ENTRY,OPEN
2026-04-21 14:19:26,XAUUSD,SELL,4784.89,0,0,0.01,-3.11,Stop Loss 🛑,CLOSED
2026-04-21 14:19:26,XAUUSD,SELL,4784.89,0,0,0.01,-3.11,Stop Loss 🛑,CLOSED
2026-04-21 14:19:55,XAUUSD,BUY,4783.99,4781.06,4788.01,0.01,0,ENTRY,OPEN
2026-04-21 14:19:55,XAUUSD,BUY,4783.87,4780.89,4787.96,0.01,0,ENTRY,OPEN
2026-04-21 14:19:56,XAUUSD,SELL,4784.08,0,0,0.01,-2.69,Stop Loss 🛑,CLOSED
2026-04-21 14:19:56,XAUUSD,SELL,4784.08,0,0,0.01,-2.69,Stop Loss 🛑,CLOSED
